return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2016-12-30	104-5935127-4824249	Dell i3168-3271BLU	B01F3R8XC6	X0016QULPR	Dell i3168-3271BLU 11.6" HD 2-in-1 Laptop (Intel Pentium N3710 1.6GHz Processor, 4 GB DDR3L SDRAM, 500 GB HDD, Windows 10) Bali Blue	1	LAS2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2016-12-29	104-0324918-1351463	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-29	108-1416414-9849809	GH-75B-2	B01HLJ7K82	X00150D7B9	New Version FULL SET 75ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, 75 f	1	LAS2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2016-12-28	111-0087833-4186653	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-28	109-1849878-3817021	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2016-12-27	111-5434640-6794638	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	DEFECTIVE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-27	111-0087833-4186653	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-27	115-6635643-1059415	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2016-12-27	107-8778016-0706626	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2016-12-27	116-4557113-9537036	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	DEFECTIVE	Unit returned to inventory
2016-12-26	111-8883334-4924233	GH-75B-2	B01HLJ7K82	X00150D7B9	New Version FULL SET 75ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, 75 f	1	LEX2	DEFECTIVE	NOT_AS_DESCRIBED	Unit returned to inventory
2016-12-24	116-9039227-4670653	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-23	102-5948848-8167465	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DAMAGED	DAMAGED_BY_FC	Reimbursed
2016-12-23	111-0581088-4421821	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2016-12-23	106-6989915-3909854	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-23	108-8889399-1957061	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	Unit returned to inventory
2016-12-23	106-0956431-9086610	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	NOT_COMPATIBLE	Unit returned to inventory
2016-12-22	105-4061040-2158637	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
