return-date	order-id	sku	asin	fnsku
2016-08-06	103-7821243-6121054	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-05	107-3382545-7997819	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-05	102-3833058-4737052	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-04	114-3253108-8109838	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-03	114-6760216-3375441	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-03	104-6501809-2288250	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-02	105-3316483-8053014	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-02	102-2364336-6710618	GH-50	B01CXHXJKK	X0013ANGIZ
2016-08-01	106-3963114-8565062	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-31	115-9164333-2998667	HP Pavilion 510-p030	B01F5LWOA2	X0015J4HQT
2016-07-30	106-6619020-6973004	HP Pavilion 510-p030	B01F5LWOA2	X0015J4HQT
2016-07-30	109-3938011-2626622	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-30	106-5037367-6392206	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-26	109-2719086-4575435	4X-B0A4-QZUB	B016EXHG5I	X000XIXUW5
2016-07-24	113-9882791-2890635	80MJ00AEUS	B00ZR6GMVS	X0014QUR7L
2016-07-22	106-5890073-8418636	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-21	108-0685799-3675407	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-20	106-2564950-3209839	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-20	106-2883840-9338607	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-07-20	106-2883840-9338607	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-07-18	102-3637316-0757848	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-18	112-7478754-7138602	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-16	107-8361822-4730648	80MJ00AEUS	B00ZR6GMVS	X0014QUR7L
2016-07-16	104-3456233-1010614	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-15	108-5368656-8310658	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-15	105-2090078-4075452	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-14	106-2282994-3876257	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-13	109-7547856-1945812	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-12	107-7990781-7373005	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-11	002-8332233-9477836	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-11	105-8664672-4437824	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-09	108-1057761-5756202	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-07	109-1320185-4269007	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-06	115-6219533-0889809	GH-50	B01CXHXJKK	X0013ANGIZ
2016-07-03	116-6963663-3817855	GH-50	B01CXHXJKK	X0013ANGIZ
2016-06-29	113-9565154-2395405	GH-50	B01CXHXJKK	X0013ANGIZ
2016-06-27	110-3984098-9751464	GH-50	B01CXHXJKK	X0013ANGIZ
2016-06-22	109-3600769-9604211	i5559-3349slv	B01DCPGDHI	X000ZKSAKN
2016-06-22	109-7766117-5700265	i5559-3349slv	B01DCPGDHI	X000ZKSAKN
2016-06-11	108-4568185-3470611	J4-SH5K-6SC5	B01B8IL4XE	X000YMO10F
2016-06-02	103-4308827-0638604	OF-Z1RN-LOEL	B01A52GM0Y	X000YB8S3R
2016-05-28	104-4652902-9514633	J4-SH5K-6SC5	B01B8IL4XE	X000YMO10F
2016-05-27	111-7501757-5569037	4G-O2GZ-11VX	B015JV81KA	X000ZZ3963
2016-05-26	115-5897784-3677028	0B-0QPS-5FKH	B016RH3DSA	X0012SCG2P
2016-05-21	116-8200784-0389838	4G-O2GZ-11VX	B015JV81KA	X000ZZ3963
2016-05-17	114-8196882-0347457	GG-KR1Q-HBS1	B01B5WFX6C	X000YGM4XR
2016-05-13	115-9970655-9680232	OF-Z1RN-LOEL	B01A52GM0Y	X000YB8S3R
2016-05-10	105-2262791-1442650	45-YTJW-E6AX	B012DTEMQ8	X000YURMUX
2016-04-29	111-7013648-4213802	J4-SH5K-6SC5	B01B8IL4XE	X000YMO10F
2016-04-28	102-4836157-1869853	J4-SH5K-6SC5	B01B8IL4XE	X000YMO10F
2016-04-27	109-2525904-4986640	J4-SH5K-6SC5	B01B8IL4XE	X000YMO10F
2016-04-23	113-5650800-1866630	J4-1I9O-6SS9	B017KIHITK	X000YYG9S5
2016-04-13	116-2433440-4765843	J4-SH5K-6SC5	B01B8IL4XE	X000YMO10F
2016-04-09	105-5074983-7040238	G5-LI8E-UI8N	B015PYZWKI	X000YMO1L9
2016-04-08	104-3647395-9557811	L6-LKMR-MKS2	B019MGNAA4	X000YHSQCJ
2016-04-08	103-6663816-5979402	8Z-95SJ-2ZT3	B01A7FZRNC	X000XXECYP
2016-04-05	102-7323143-8936252	A9-CVFC-5Z12	B019TTJ40O	X000Z8BIP9
2016-03-31	106-2063984-7896220	AX-I4ZJ-Z6BY	B012AQI7EW	X000XSE3VH
2016-03-23	114-7062801-5591435	H5-UZ8J-ALDN	B01A86NO80	X000YHSHAZ
2016-03-21	107-0149107-9994620	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-03-17	116-3305662-3149011	AX-I4ZJ-Z6BY	B012AQI7EW	X000XSE3VH
2016-03-17	116-3305662-3149011	AX-I4ZJ-Z6BY	B012AQI7EW	X000XSE3VH
2016-03-15	114-4097346-8126630	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-03-07	111-6563392-3471400	M6-M0AX-2M9N	B012DTDBI8	X000XBYB11
2016-03-06	114-4127753-4915450	LY-FE97-ZG9R	B01695O5AA	X000YHRZCB
2016-03-05	102-2003741-7834650	H5-UZ8J-ALDN	B01A86NO80	X000YHSHAZ
2016-02-29	113-0239294-5034654	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-02-25	115-5799619-9776237	OF-Z1RN-LOEL	B01A52GM0Y	X000YB8S3R
2016-02-25	115-9829337-7814650	OJ-Z6T7-59KG	B011HNTOB4	X000XRTUY3
2016-02-24	114-6959505-2337045	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-02-24	108-6257641-9415431	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
